,I pay close attention to my diet and nutrition.,Staying active and exercising is important to me.,I enjoy lazy days with no plans or responsibilities.,I prefer having a structured daily routine.,I like to indulge in non-essential purchases.,"I enjoy treating myself, even if it’s impractical.",I am highly goal-oriented in my studies or career.,I like making long-term plans for my future.,I prioritize work-life balance over professional ambition.,Financial stability is more important to me than chasing passion projects.,"I prefer a small, close-knit group of friends over a large social circle.",I enjoy social media and actively engage with it.,I love planning and hosting gatherings or parties.,"I value deep, meaningful conversations over casual small talk.",I enjoy playful teasing and harmless pranks with my friends.,I like playing games that encourage sharing personal thoughts and feelings.,I often check in on my friends to see how they’re doing.,I’m comfortable with my friends having different opinions and beliefs.,Social activism and making a difference are important to me.,I feel one should choose to buy from local businesses over large corporations.,I believe billionaires should not exist.,I try to live sustainably and minimize my impact on the planet.,I believe everything will eventually be explained by science.,I have strong religious or spiritual beliefs.,"I express what’s bothering me, even if it leads to uncomfortable conversations.",I’m a night owl.,I need friends who respond quickly to messages.,"I’m uncomfortable with excessive physical affection (hugging, etc.).",I love celebrating birthdays and important milestones with friends.,Spontaneous adventures are my favorite way to have fun.,I prefer cozy nights in over going out and socializing.,"I enjoy discussing deep topics like philosophy, science, or psychology.","I like participating in group activities like sports, board games, or trivia.",I enjoy dark humor and sarcasm.,I’d rather blend in than stand out in a group.,I’m always excited to try exotic and unusual foods.,"I enjoy following and discussing pop culture, TV shows, and movies.","I love going to concerts, festivals, or other live events with friends.","I enjoy taking spontaneous trips, even if it means postponing responsibilities.","I find thrill-seeking activities (e.g., skydiving, roller coasters) exciting.",I could spend hours getting lost in a book or creative project.,Watching or playing sports is an important part of my identity.,My profession is a defining part of who I am.,Expressing myself through fashion or style is important to me.,I believe gossiping about others is harmless fun.,I’m comfortable with my friends drinking alcohol.,I’m comfortable with my friends smoking cigarettes.,I’m comfortable with my friends using recreational drugs.
"I prefer a small, close-knit group of friends over a large social circle.",0.026086772783832382,0.13805211033273598,0.08751187860816803,-0.0120962376042489,-0.04684728939577448,0.03402935117320629,0.056113980303465656,0.178750423455233,0.10569820577201233,0.09704886255966028,1.0,-0.03338365667286305,-0.16413444269466868,0.1487502508063633,0.3191594734707375,0.010516340727911435,0.10776703306396641,0.13441493717364178,0.1872382465321033,-0.012035526308852003,-0.10814688864063922,-0.010687121693740451,0.04064028819831453,0.03627837413821163,-0.07780070870569193,0.040992609379778056,0.1573340666555313,0.18341925801464287,-0.030798954716887886,0.13847351521610987,0.2779161052107508,0.20620129586123387,0.12377282474445646,0.2003531476491563,0.18640659716096408,-0.027590984358999846,0.024381955671205116,-0.033521151053369044,-0.040657455345796234,0.08462365467017714,0.2182218968940716,0.043332399080032294,-0.04036520957288464,-0.03736778065872921,-0.08999483439070875,-0.18177866923232422,-0.023700649256552676,-0.16709058768819504
I enjoy social media and actively engage with it.,0.03728400349918386,-0.07464912770134188,0.07901033770130314,-0.07214087085004173,0.2867259712673841,0.1613790392451383,0.10128403054305143,0.0495594337151353,0.117100658136022,0.1448283263466246,-0.03338365667286305,1.0,0.2863030647247656,-0.013291732624001787,-0.022071680915488143,0.0997568108645342,0.22964102792894858,0.22225553445941157,0.3283594858411301,0.18577375678558924,-0.060874854794272036,-0.053946369410300815,0.05311739381337876,-0.10319949432249337,0.037408184696571124,0.15731218161623367,0.23764809197422915,0.07602842427020519,0.2923421534842109,0.03240003845207759,-0.013343533425378513,-0.03868672012329562,0.02550389027643263,-0.027033458414388468,0.03876218926966592,0.141307633710313,0.25332252292497764,0.2178783256997658,0.11063602702284901,0.03071075959850705,-0.050092255578178924,0.13727129534070198,-0.12063271344068298,0.13956763516496964,0.24178273210460177,0.10136521106631469,0.009310635980043443,0.12973288591865645
I love planning and hosting gatherings or parties.,0.11060435326042783,0.16145467275759748,-0.1562787697675972,0.18760882669055287,0.3470318797842608,0.07185226003523523,0.22261299682454616,0.17561001519220573,0.2073552622842451,0.12233391646202596,-0.16413444269466868,0.2863030647247656,1.0,0.04159048577741472,0.019560164790981924,0.27057721401296636,0.3035462388766163,0.06266520123520798,0.2790586656275982,0.23566392355874216,0.061136553220796384,0.05897173123325314,0.2613892154616464,0.03613488372191175,0.18150988300845966,-0.04084316862789459,0.10797236591730217,-0.18941457591980587,0.5211216789106444,0.1098172469839655,-0.08411416563948841,0.08511881291447292,0.11454101625105434,-0.07593743556802485,0.09348626752140911,0.29393772279431557,0.32368467527476663,0.40947430878442387,0.16200966985502982,0.32201955326465714,-0.03305265155942606,0.10697900027821083,-0.04930019380892833,0.34996597358243653,0.170327196754455,0.31665544275642066,0.20064493806826758,0.17589270415377017
"I value deep, meaningful conversations over casual small talk.",-0.012265601523946965,-0.10045701420266559,-0.046352027346469954,0.1804611399699645,0.15564173152950006,0.16037031460931087,0.1568721281519419,0.2007184004671819,0.0627078632839594,0.09444166228953217,0.1487502508063633,-0.013291732624001787,0.04159048577741472,1.0,-0.12122296292357977,0.18969952645440463,0.19614854963793144,-0.0056308202481947746,0.05945301837656486,-0.039018373558030894,-0.07451907805300947,0.11698946898678766,-0.007389633311280791,0.11331236227829504,0.13517288954014403,-0.017385622928733656,0.04843116667988,-0.05092662498433245,-0.02463239520808614,0.08421424257312972,0.106764746962386,0.5173964488585874,-0.14146225259855075,0.14729136811013605,-0.1480188508151879,0.16177548680867473,0.1974309890056867,0.07165469562109628,0.07813045057710352,0.05887568595836274,0.1384407399542711,-0.1046433782784992,0.09549643817057521,0.1536946885386516,-0.13393334392357364,0.01712887663828299,0.13645906287360055,0.005050496547538624
I enjoy playful teasing and harmless pranks with my friends.,-0.08834126146303374,0.040559849102454956,0.13863938942612075,-0.0586407810898537,-0.06465987840731272,0.22292838291810263,0.09175883586455558,0.2154037397741683,0.10782631678767582,0.09013790405723841,0.3191594734707375,-0.022071680915488143,0.019560164790981924,-0.12122296292357977,1.0,0.037898824305325686,0.1543194252981516,0.31943661973487486,0.0850331542783049,0.08236022906310884,-0.08830747884829752,0.07632098876360947,0.0921581758620833,-0.012638949184911067,0.0003437190190748407,0.18494792325296888,0.13939215249145492,-0.022792404445409767,0.06087142940071483,0.25430794121509775,0.07746153574072706,0.1456598210160566,0.25904940156655243,0.35417246676489517,0.16126047427383072,0.10612600536940509,-0.008666826159227412,0.15249760895297668,0.03951902170311065,0.25849638939070724,0.08072694175896765,0.20135625915757493,-0.033582294795981425,3.667208075770407e-05,0.12198470422824824,0.0725903501716329,0.07498410315949053,-0.07923099684497412
I like playing games that encourage sharing personal thoughts and feelings.,0.07274281571410451,-0.06405501713760353,-0.06455586378118444,0.2021348776866744,0.1848833138916428,0.002242948099902096,0.1455163647105308,0.06797642134023915,0.1457975853793018,0.01974163489931398,0.010516340727911435,0.0997568108645342,0.27057721401296636,0.18969952645440463,0.037898824305325686,1.0,0.005298418291331068,0.026113604121533844,0.16048409294574656,0.2135542687167658,0.07165462365976642,0.024028593244185513,-0.18159276811416306,0.05501895949091902,0.20095056841607317,0.05870169753924788,0.04213681974808156,-0.07430577467528904,0.1892251467744411,0.01767988904184727,-0.15992249848559256,0.12586257727031117,0.009506823031094009,0.06188035747260741,-0.059394898510509664,0.4495437760546974,0.39969556604116774,0.25790561147682944,0.15380488064617373,0.1285704996650136,0.15040881568868342,-0.0011072931750972226,0.09695762638313825,0.2577860375135197,0.07104751602922639,0.15031942380083796,-0.02094092248880562,0.11185916321511699
I often check in on my friends to see how they’re doing.,0.2316189570039118,0.06719929484579537,0.036676412940355806,0.11247643743852292,0.21410039665101527,0.19522224928000606,0.1282544370299596,0.13275718686714014,0.1662286650354063,0.18253309284181718,0.10776703306396641,0.22964102792894858,0.3035462388766163,0.19614854963793144,0.1543194252981516,0.005298418291331068,1.0,0.11957367253194548,0.23384855357985476,0.2085406838613535,0.04934357798574856,0.077040808265063,0.11256864576270618,0.11976749786507562,0.1379925035988122,-0.09888933750103054,0.10868370627943268,-0.11577898794192563,0.3089608458342254,0.17065975892136817,0.006237828440026714,0.1305235464773039,0.014884736448679811,-0.0824755729113851,-0.0011893165370685359,0.09131745476090311,0.2395060397148724,0.3281258822580292,0.06698648362590695,0.2033364116935203,-0.09479008087448373,0.12216284132424411,-0.022323698483795146,0.19103490558350633,-0.0034684365179353566,0.12975427614598167,0.2843834842722716,0.13534702477232533
I’m comfortable with my friends having different opinions and beliefs.,0.11481482898816418,0.08863279912293187,0.09770443969411703,-0.016563858283522685,-0.01862780809950777,0.04645000320843491,0.08936794388732573,0.08154998800680684,0.11114278910437116,0.0881877830825711,0.13441493717364178,0.22225553445941157,0.06266520123520798,-0.0056308202481947746,0.31943661973487486,0.026113604121533844,0.11957367253194548,1.0,0.1850143279273565,0.09455819933026044,-0.11785060053095828,0.23866345756376073,0.2316156459027384,-0.08024164751669377,-0.03296349099853557,0.06443323651114592,-0.017698708020090107,0.03450361330562214,0.18240712914750293,0.24984233470302483,0.04203901529039113,0.12395897780454761,0.2884679190084847,0.07755593987006483,0.21105999966847386,0.18021650625539118,0.2275205495215894,0.1644275995848892,-0.07021224386243784,0.2148866621051436,0.11305824692809918,0.17213794693081086,-0.0793317370923525,0.06173902778364648,-0.01162312247714843,0.19611760257981714,0.09449566931059492,-0.04315967756112164
Social activism and making a difference are important to me.,0.07230826630583265,0.07952126530793587,0.02353821846293595,0.12412158891626399,0.09962565116398374,0.1163544882203578,0.1356373531646189,-0.03469693711778058,0.13550997686932437,-0.050635324307166364,0.1872382465321033,0.3283594858411301,0.2790586656275982,0.05945301837656486,0.0850331542783049,0.16048409294574656,0.23384855357985476,0.1850143279273565,1.0,0.23380633964326514,-0.01668672523558724,0.20681034048952343,0.1388397742637997,-0.0676064974462427,-0.09270979414013925,0.025375277658891242,0.21088398496981323,-0.010334416543360566,0.2025392684706279,0.2821133031735217,0.018927355253807877,0.11481923520081225,0.15013851443162973,-0.06088936782632565,0.03313106770952331,0.20443513686111123,0.2932537285602394,0.18956520387635317,0.06649114495637616,0.25794114508113436,0.07856880802852158,0.08634414455731874,-0.15161524588519576,0.21626375331591755,0.04940765542865765,-0.03069740775739195,0.05715826206205425,0.0011482023844373926
I feel one should choose to buy from local businesses over large corporations.,-0.047012026816189934,-0.2242392268225312,0.2202657291893108,0.09164052298831928,0.1670752317222207,-0.03247469017728756,-0.060357581177346374,-0.12850321916043747,0.1356266897142756,0.0009366167697632469,-0.012035526308852003,0.18577375678558924,0.23566392355874216,-0.039018373558030894,0.08236022906310884,0.2135542687167658,0.2085406838613535,0.09455819933026044,0.23380633964326514,1.0,0.3445442863080678,0.16173238121028913,-0.013592297781703677,-0.020827628447114336,0.11885104586033797,0.0047455431971183855,-0.06516237148945982,0.10649256613404488,0.16615816755866025,-0.0542543741784241,0.12754954067694357,0.05724041478425325,0.13336678396303173,-0.020304089926932126,0.0763706610061224,0.21457241640927915,0.19219287954937597,0.13155560638786803,-0.04048249658124257,-0.03385429355409255,-0.035079462178271154,-0.012723218428152602,-0.14605023230626124,0.16822963035130836,0.2519088342790085,0.18152893269437045,0.12058366001586893,0.1993921101006284
